,GrantApplicationID,GrantStatus,SponsorCode,GrantCategoryCode,ContractValueBand,Startdate,RFCDCode1,RFCDPercentage1,RFCDCode2,RFCDPercentage2,RFCDCode3,RFCDPercentage3,RFCDCode4,RFCDPercentage4,RFCDCode5,RFCDPercentage5,SEOCode1,SEOPercentage1,SEOCode2,SEOPercentage2,SEOCode3,SEOPercentage3,SEOCode4,SEOPercentage4,SEOCode5,SEOPercentage5
0,1,1,SponsorUnk,GrantCatUnk,ContractValueBandA ,8/11/05,280199.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700299.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,Sponsor2B,GrantCat10A,ContractValueBandB ,11/11/05,280103.0,30.0,280106.0,30.0,280203.0,40.0,0.0,0.0,0.0,0.0,700103.0,50.0,700102.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,1,Sponsor29A,GrantCat10B,ContractValueBandA ,14/11/05,321004.0,60.0,321216.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,60.0,730207.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,1,Sponsor40D,GrantCat10B,ContractValueBandC ,15/11/05,270602.0,50.0,320602.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730106.0,70.0,730201.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0,Sponsor59C,GrantCat10A,ContractValueBandA ,16/11/05,260500.0,34.0,280000.0,33.0,290000.0,33.0,0.0,0.0,0.0,0.0,770199.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,1,Sponsor4D,GrantCat10A,ContractValueBandUnk,19/11/05,321204.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730211.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,0,Sponsor2B,GrantCat10A,ContractValueBandUnk,19/11/05,270708.0,50.0,270203.0,30.0,270401.0,20.0,0.0,0.0,0.0,0.0,770703.0,60.0,770706.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,0,Sponsor28D,GrantCat30B,ContractValueBandA ,19/11/05,321405.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730303.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,1,Sponsor2B,GrantCat10A,ContractValueBandH ,19/11/05,260108.0,50.0,260109.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,780104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,1,Sponsor2B,GrantCat10A,ContractValueBandUnk,19/11/05,270708.0,40.0,270704.0,30.0,270203.0,30.0,0.0,0.0,0.0,0.0,770503.0,60.0,770502.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11,1,Sponsor2B,GrantCat10A,ContractValueBandG ,19/11/05,230111.0,60.0,230112.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,740301.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12,0,Sponsor136D,GrantCat30B,ContractValueBandUnk,19/11/05,270603.0,20.0,321003.0,30.0,321012.0,50.0,0.0,0.0,0.0,0.0,730106.0,30.0,730115.0,50.0,730116.0,20.0,0.0,0.0,0.0,0.0
12,13,1,Sponsor4D,GrantCat10A,ContractValueBandUnk,19/11/05,320702.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,0,SponsorUnk,GrantCatUnk,ContractValueBandUnk,19/11/05,291599.0,51.0,239901.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,730199.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15,1,Sponsor2B,GrantCat10A,ContractValueBandUnk,19/11/05,280203.0,40.0,280106.0,30.0,280103.0,30.0,0.0,0.0,0.0,0.0,700103.0,50.0,700102.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16,0,Sponsor100D,GrantCat10B,ContractValueBandUnk,19/11/05,321099.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730111.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17,0,Sponsor1A,GrantCat10A,ContractValueBandUnk,19/11/05,270603.0,33.0,321026.0,33.0,321005.0,34.0,0.0,0.0,0.0,0.0,730116.0,33.0,730204.0,33.0,730215.0,34.0,0.0,0.0,0.0,0.0
17,18,1,Sponsor21A,GrantCat50A,ContractValueBandUnk,19/11/05,300903.0,33.0,370499.0,33.0,370106.0,34.0,0.0,0.0,0.0,0.0,759900.0,33.0,770802.0,33.0,740301.0,34.0,0.0,0.0,0.0,0.0
18,19,1,Sponsor2B,GrantCat10A,ContractValueBandF ,19/11/05,300508.0,40.0,270201.0,40.0,270899.0,20.0,0.0,0.0,0.0,0.0,780105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
