"Grant.Application.ID"	"RFCD.Code"	"RFCD.Percentage"	"SEO.Code"	"SEO.Percentage"	"Person.ID"	"Role"	"Year.of.Birth"	"Country.of.Birth"	"Home.Language"	"Dept.No."	"Faculty.No."	"With.PHD"	"No..of.Years.in.Uni.at.Time.of.Grant"	"Number.of.Successful.Grant"	"Number.of.Unsuccessful.Grant"	"A."	"A"	"B"	"C"
1	"RFCD280199"	100	"SEO700299"	100	40572	"CHIEF_INVESTIGATOR"	"1965"	"AsiaPacific"	"OtherLang"	"Dept3073"	"Faculty31"	""	"DurationLT0"	0	0	4	2	0	0
2	"RFCD280103"	30	"SEO700103"	50	9067	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2538"	"Faculty25"	"Yes "	"DurationGT15"	0	0	6	12	2	2
3	"RFCD321004"	60	"SEO730105"	60	5967	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2923"	"Faculty25"	"Yes "	"Duration5to10"	0	0	0	3	5	2
4	"RFCD270602"	50	"SEO730106"	70	78782	"PRINCIPAL_SUPERVISOR"	"1955"	"Australia"	NA	"Dept2678"	"Faculty25"	"Yes "	"Duration5to10"	0	0	0	3	13	3
5	"RFCD260500"	34	"SEO770199"	100	13042	"CHIEF_INVESTIGATOR"	"1965"	"WesternEurope"	NA	"Dept2153"	"Faculty19"	"Yes "	"Duration5to10"	0	0	3	0	1	0
6	"RFCD321204"	100	"SEO730211"	100	301472	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2533"	"Faculty25"	"Yes "	"Duration0to5"	2	0	7	27	27	6
7	"RFCD270708"	50	"SEO770703"	60	74292	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept3028"	"Faculty31"	"Yes "	"Duration10to15"	0	0	8	5	2	0
8	"RFCD321405"	100	"SEO730303"	100	1642	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2563"	"Faculty25"	""	"DurationUnk"	0	3	0	0	0	0
9	"RFCD260108"	50	"SEO780104"	100	1012	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	"English"	"Dept3123"	"Faculty31"	"Yes "	"Duration5to10"	0	0	8	1	11	0
10	"RFCD270708"	40	"SEO770503"	60	89462	"CHIEF_INVESTIGATOR"	"1930"	NA	NA	NA	NA	""	"DurationUnk"	0	0	1	0	0	0
11	"RFCD230111"	60	"SEO740301"	100	67272	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept3098"	"Faculty31"	"Yes "	"Duration0to5"	0	0	2	4	0	0
12	"RFCD270603"	20	"SEO730106"	30	1797	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	NA	"Dept2678"	"Faculty25"	"Yes "	"Duration5to10"	2	7	0	8	4	0
13	"RFCD320702"	100	"SEO730104"	100	73882	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	NA	"Dept2713"	"Faculty25"	""	"DurationLT0"	1	1	4	3	2	1
14	"RFCD291599"	51	"SEO730199"	100	38457	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2153"	"Faculty19"	""	"DurationLT0"	0	0	3	4	2	0
15	"RFCD280203"	40	"SEO700103"	50	9067	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2538"	"Faculty25"	"Yes "	"DurationGT15"	3	3	6	12	2	2
16	"RFCD321099"	100	"SEO730111"	100	69482	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2883"	"Faculty25"	"Yes "	"Duration0to5"	0	1	0	0	2	2
17	"RFCD270603"	33	"SEO730116"	33	1797	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	NA	"Dept2678"	"Faculty25"	"Yes "	"Duration5to10"	2	7	0	8	4	0
18	"RFCD300903"	33	"SEO759900"	33	26882	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration0to5"	1	0	0	2	1	2
19	"RFCD300508"	40	"SEO780105"	100	69517	"PRINCIPAL_SUPERVISOR"	"1950"	"Australia"	"English"	"Dept1258"	"Faculty34"	"Yes "	"DurationGT15"	0	0	6	4	6	32
20	"RFCD380103"	100	"SEO730211"	100	592577	"CHIEF_INVESTIGATOR"	"1975"	NA	NA	"Dept2558"	"Faculty25"	""	"DurationUnk"	0	1	0	0	0	0
21	"RFCD270103"	20	"SEO730108"	40	15282	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	"English"	"Dept2713"	"Faculty25"	"Yes "	"Duration5to10"	1	1	1	1	2	0
22	"RFCD370107"	100	"SEO759999"	100	25947	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept1038"	"Faculty1"	""	"DurationUnk"	1	1	0	0	0	0
23	"RFCD321021"	40	"SEO730211"	100	9067	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2538"	"Faculty25"	"Yes "	"DurationGT15"	3	3	6	12	2	2
24	"RFCD291801"	60	"SEO671403"	40	4902	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2053"	"Faculty19"	"Yes "	"Duration5to10"	1	0	1	3	4	1
25	"RFCD330305"	100	"SEO740301"	100	78947	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2553"	"Faculty25"	""	"DurationLT0"	1	1	0	3	3	1
26	NA	NA	NA	NA	36527	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	1	4	0	0	0	0
27	NA	NA	NA	NA	16137	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration5to10"	1	5	4	3	1	0
28	"RFCD270299"	100	"SEO730108"	80	20927	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2578"	"Faculty25"	"Yes "	"Duration5to10"	0	1	0	2	2	0
29	"RFCD270603"	50	"SEO730106"	100	1797	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	NA	"Dept2678"	"Faculty25"	"Yes "	"Duration5to10"	2	7	0	8	4	0
30	"RFCD350201"	60	"SEO720403"	60	3067	"CHIEF_INVESTIGATOR"	"1950"	NA	NA	NA	NA	""	"DurationUnk"	0	0	3	3	1	0
31	"RFCD400303"	80	"SEO750802"	80	39817	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept653"	"Faculty7"	""	"Duration0to5"	0	1	0	0	0	0
32	"RFCD320702"	100	"SEO730104"	100	69032	"DELEGATED_RESEARCHER"	"1965"	"Australia"	"English"	"Dept2538"	"Faculty25"	"Yes "	"Duration0to5"	1	2	4	2	3	1
33	"RFCD320702"	20	"SEO670502"	25	69262	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2653"	"Faculty25"	"Yes "	"Duration10to15"	1	0	7	5	7	7
34	"RFCD330107"	100	"SEO740201"	40	4247	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2298"	"Faculty46"	""	"DurationLT0"	0	1	0	0	0	0
35	"RFCD260109"	50	"SEO780104"	60	5287	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept3123"	"Faculty31"	"Yes "	"Duration0to5"	2	1	8	3	1	0
36	"RFCD270104"	100	"SEO730105"	100	66887	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2813"	"Faculty25"	""	"DurationLT0"	0	2	0	5	2	0
37	"RFCD270201"	100	"SEO630104"	100	70662	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept3268"	"Faculty31"	""	"DurationLT0"	1	1	0	3	0	0
38	"RFCD321004"	100	"SEO730105"	100	69812	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2813"	"Faculty25"	""	"Duration5to10"	1	5	10	7	9	1
39	"RFCD300105"	50	"SEO770802"	50	35382	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2103"	"Faculty19"	""	"DurationLT0"	0	1	4	9	0	0
40	"RFCD321028"	50	"SEO730114"	100	149767	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2828"	"Faculty25"	""	"DurationUnk"	1	2	0	0	0	0
41	"RFCD321216"	50	"SEO730201"	50	63562	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept2523"	"Faculty25"	""	"DurationLT0"	1	1	0	2	5	2
42	"RFCD320702"	40	"SEO730000"	40	71867	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2578"	"Faculty25"	"Yes "	"Duration10to15"	3	1	7	19	26	13
43	"RFCD321004"	40	"SEO730105"	40	142457	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2713"	"Faculty25"	""	"DurationLT0"	1	1	0	0	0	0
44	"RFCD321004"	100	"SEO730105"	100	74162	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2813"	"Faculty25"	"Yes "	"Duration5to10"	1	0	10	19	7	6
45	"RFCD320602"	100	"SEO730107"	50	67647	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2678"	"Faculty25"	"Yes "	"Duration5to10"	1	6	9	8	8	4
46	"RFCD420303"	50	"SEO730201"	40	63492	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2523"	"Faculty25"	""	"DurationLT0"	0	1	1	0	9	4
47	"RFCD260602"	60	"SEO770103"	50	26877	"CHIEF_INVESTIGATOR"	"1935"	"Australia"	NA	"Dept3123"	"Faculty31"	""	"Duration5to10"	0	0	0	2	4	1
