GrantId,PersonID,Role,YearofBirth,WithPHD,NoofYearsinUniatTimeofGrant,NumberofSuccessfulGrant,NumberofUnsuccessfulGrant,A*,A,B,C,teamSize
1,40572,CHIEF_INVESTIGATOR,1965,No,0,0,0,4,2,0,0,1
2,9067,CHIEF_INVESTIGATOR,1960,Yes,15,0,0,6,12,2,2,1
3,5967,CHIEF_INVESTIGATOR,1955,Yes,5,0,0,0,3,5,2,4
3,27307,CHIEF_INVESTIGATOR,1950,No,0,0,0,0,0,0,0,4
3,79652,CHIEF_INVESTIGATOR,1950,Yes,15,0,0,1,3,3,3,4
3,11667,DELEGATED_RESEARCHER,1950,No,15,0,0,6,14,12,2,4
4,78782,PRINCIPAL_SUPERVISOR,1955,Yes,5,0,0,0,3,13,3,2
4,55337,CHIEF_INVESTIGATOR,1975,Yes,0,0,0,0,0,0,0,2
5,13042,CHIEF_INVESTIGATOR,1965,Yes,5,0,0,3,0,1,0,1
6,301472,CHIEF_INVESTIGATOR,1950,Yes,0,2,0,7,27,27,6,1
7,74292,CHIEF_INVESTIGATOR,1960,Yes,10,0,0,8,5,2,0,3
7,82602,CHIEF_INVESTIGATOR,1960,Yes,10,0,1,0,0,0,0,3
7,79742,CHIEF_INVESTIGATOR,1950,No,0,0,0,0,7,12,4,3
8,1642,CHIEF_INVESTIGATOR,1965,No,0,0,3,0,0,0,0,2
8,70212,CHIEF_INVESTIGATOR,1940,No,0,0,0,0,0,0,0,2
9,1012,CHIEF_INVESTIGATOR,1945,Yes,5,0,0,8,1,11,0,2
9,80197,CHIEF_INVESTIGATOR,1950,Yes,5,2,1,0,0,0,0,2
10,89462,CHIEF_INVESTIGATOR,1930,No,0,0,0,1,0,0,0,1
11,67272,CHIEF_INVESTIGATOR,1965,Yes,0,0,0,2,4,0,0,2
11,80037,CHIEF_INVESTIGATOR,1950,Yes,15,1,0,0,0,0,0,2
12,1797,CHIEF_INVESTIGATOR,1960,Yes,5,2,7,0,8,4,0,1
13,73882,CHIEF_INVESTIGATOR,1960,No,0,1,1,4,3,2,1,1
14,38457,CHIEF_INVESTIGATOR,1970,No,0,0,0,3,4,2,0,2
14,132247,CHIEF_INVESTIGATOR,1960,No,0,0,1,0,0,0,0,2
15,9067,CHIEF_INVESTIGATOR,1960,Yes,15,3,3,6,12,2,2,3
15,8067,CHIEF_INVESTIGATOR,1960,Yes,5,0,2,0,0,0,0,3
